pomegranate,0.6126659
pomegranate,0.42602372
Granny Smith,0.24600473
pomegranate,0.75102675
pomegranate,0.60244554
pomegranate,0.15518956
pomegranate,0.8551096
pomegranate,0.47987372
pomegranate,0.9975337
pomegranate,0.8133428
pomegranate,0.3916746
pomegranate,0.5165415
pomegranate,0.6439281
pomegranate,0.57714045
Granny Smith,0.43911007
pomegranate,0.41904196
Granny Smith,0.31264082
fig,0.7580317
Granny Smith,0.30312458
Granny Smith,0.5176973
orange,0.17243822
Granny Smith,0.40628245
croquet ball,0.9124841
Granny Smith,0.3676946
croquet ball,0.2560545
croquet ball,0.9713519
Granny Smith,0.6549396
fig,0.93552816
Granny Smith,0.38281107
Granny Smith,0.79726
Granny Smith,0.91103685
Granny Smith,0.52831924
banana,0.9479942
banana,0.9874823
soup bowl,0.37517396
banana,0.9968702
banana,0.79461235
banana,0.9830153
banana,0.99464154
banana,0.9923808
banana,0.99085337
banana,0.8828188
banana,0.99477816
bathtub,0.7468716
banana,0.8968416
banana,0.98687255
cauliflower,0.9967878
cauliflower,0.9832078
cauliflower,0.9711519
cauliflower,0.9922197
cauliflower,0.99262494
cauliflower,0.9962268
cauliflower,0.99555737
cauliflower,0.99830365
cauliflower,0.9972234
cauliflower,0.9995746
cauliflower,0.9800719
cauliflower,0.99388784
cauliflower,0.69531983
broccoli,0.5282372
broccoli,0.76754415
cauliflower,0.97562975
cauliflower,0.9989303
cauliflower,0.999485
cauliflower,0.9845324
cauliflower,0.9906024
cauliflower,0.9967878
cauliflower,0.9832078
cauliflower,0.9711519
cauliflower,0.9922197
cauliflower,0.99262494
cauliflower,0.9962268
cauliflower,0.99555737
cauliflower,0.99830365
cauliflower,0.9972234
cauliflower,0.9995746
cauliflower,0.9800719
cauliflower,0.99388784
cauliflower,0.69531983
broccoli,0.5282372
broccoli,0.76754415
cauliflower,0.97562975
cauliflower,0.9989303
cauliflower,0.999485
cauliflower,0.9845324
cauliflower,0.9906024
cauliflower,0.9967878
cauliflower,0.9832078
cauliflower,0.9711519
cauliflower,0.9922197
cauliflower,0.99262494
cauliflower,0.9962268
cauliflower,0.99555737
cauliflower,0.99830365
cauliflower,0.9972234
cauliflower,0.9995746
cauliflower,0.9800719
cauliflower,0.99388784
cauliflower,0.69531983
broccoli,0.5282372
broccoli,0.76754415
cauliflower,0.97562975
cauliflower,0.9989303
cauliflower,0.999485
cauliflower,0.9845324
cauliflower,0.9906024
